Gestora,VVs,Beds,Municipality,Address
"Resort Cordial Santa Agueda",87,380,"San Bartolome De Tirajana","Ds El Pajar Suelo Parcela 1 1"
"Resort Cordial Santa Agueda",87,380,"San Bartolome De Tirajana","Plan Parcial El Pajar, Parcela 1, Vivienda 1001 1"
"Resort Cordial Santa Agueda",87,380,"San Bartolome De Tirajana","Plan Parcial El Pajar, Parcela 1, Vivienda 1002 1"
"Resort Cordial Santa Agueda",87,380,"San Bartolome De Tirajana","Plan Parcial El Pajar, Parcela 1, Vivienda 1003 1"
"Resort Cordial Santa Agueda",87,380,"San Bartolome De Tirajana","Plan Parcial El Pajar, Parcela 1, Vivienda 1004 1"
"Resort Cordial Santa Agueda",87,380,"San Bartolome De Tirajana","Plan Parcial El Pajar, Parcela 1, Vivienda 1005 1"
"Resort Cordial Santa Agueda",87,380,"San Bartolome De Tirajana","Plan Parcial El Pajar, Parcela 1, Vivienda 1006 1"
"Resort Cordial Santa Agueda",87,380,"San Bartolome De Tirajana","Plan Parcial El Pajar, Parcela 1, Vivienda 1007 1"
"Resort Cordial Santa Agueda",87,380,"San Bartolome De Tirajana","Plan Parcial El Pajar, Parcela 1, Vivienda 1008 1"
"Resort Cordial Santa Agueda",87,380,"San Bartolome De Tirajana","Plan Parcial El Pajar, Parcela 1, Vivienda 1009 1"
"Resort Cordial Santa Agueda",87,380,"San Bartolome De Tirajana","Plan Parcial El Pajar, Parcela 1, Vivienda 1010 1"
"Resort Cordial Santa Agueda",87,380,"San Bartolome De Tirajana","Plan Parcial El Pajar, Parcela 1, Vivienda 1011 1"
"Resort Cordial Santa Agueda",87,380,"San Bartolome De Tirajana","Plan Parcial El Pajar, Parcela 1, Vivienda 1012 1"
"Resort Cordial Santa Agueda",87,380,"San Bartolome De Tirajana","Plan Parcial El Pajar, Parcela 3 3"
"Resort Cordial Santa Agueda",87,380,"San Bartolome De Tirajana","Plan Parcial El Pajar, Parcela 3 3002"
"Resort Cordial Santa Agueda",87,380,"San Bartolome De Tirajana","Plan Parcial El Pajar, Parcela 3 3003"
"Resort Cordial Santa Agueda",87,380,"San Bartolome De Tirajana","Plan Parcial El Pajar, Parcela 3 3004"
"Resort Cordial Santa Agueda",87,380,"San Bartolome De Tirajana","Plan Parcial El Pajar, Parcela 3 3006"
"Resort Cordial Santa Agueda",87,380,"San Bartolome De Tirajana","Plan Parcial El Pajar, Parcela 3 3007"
"Resort Cordial Santa Agueda",87,380,"San Bartolome De Tirajana","Plan Parcial El Pajar, Parcela 3 3008"
"Los Molinos",29,62,"San Bartolome De Tirajana","Avda.Tirajana, Nº 36, Pta. 726 35100    , Playa Del Ingles, San Bartolome De Tirajana, Gran Canaria"
"Los Molinos",29,62,"San Bartolome De Tirajana","Avda. Tirajana, Nº 36, Pta. 124 35100    , Playa Del Ingles, San Bartolome De Tirajana, Gran Canaria"
"Los Molinos",29,62,"San Bartolome De Tirajana","Avda. Tirajana, Nº 36, Pta. 129 35100    , Playa Del Ingles, San Bartolome De Tirajana, Gran Canaria"
"Los Molinos",29,62,"San Bartolome De Tirajana","Avda. Tirajana, Nº 36, Pta. 132 35100    , Playa Del Ingles, San Bartolome De Tirajana, Gran Canaria"
"Los Molinos",29,62,"San Bartolome De Tirajana","Avda. Tirajana, Nº 36, Pta. 102 35100    , Playa Del Ingles, San Bartolome De Tirajana, Gran Canaria"
"Los Molinos",29,62,"San Bartolome De Tirajana","Avda. De Tirajana, Nº 36, Pta. 822 35100    , Playa Del Ingles, San Bartolome De Tirajana, Gran Canaria"
"Los Molinos",29,62,"San Bartolome De Tirajana","Avda. Tirajana, Nº 36, Pta. 114 35100    , Playa Del Ingles, San Bartolome De Tirajana, Gran Canaria"
"Los Molinos",29,62,"San Bartolome De Tirajana","Avda. Tirajana, Nº 36, Pta. 208 35100    , Playa Del Ingles, San Bartolome De Tirajana, Gran Canaria"
"Los Molinos",29,62,"San Bartolome De Tirajana","Avda. Tirajana, Nº 36, Pta. 216 35100    , Playa Del Ingles, San Bartolome De Tirajana, Gran Canaria"
"Los Molinos",29,62,"San Bartolome De Tirajana","Avda. De Tirajana, Nº 36, Pta. 718 35100    , Playa Del Ingles, San Bartolome De Tirajana, Gran Canaria"
"Los Molinos",29,62,"San Bartolome De Tirajana","Avda. Tirajana, Nº 36, Pta. 115 35100    , Playa Del Ingles, San Bartolome De Tirajana, Gran Canaria"
"Los Molinos",29,62,"San Bartolome De Tirajana","Avda. De Tirajana, Nº 36, Pta. 608 35100    , Playa Del Ingles, San Bartolome De Tirajana, Gran Canaria"
"Los Molinos",29,62,"San Bartolome De Tirajana","Avda. Tirajana, Nº 36, Pta. 234 35100    , Playa Del Ingles, San Bartolome De Tirajana, Gran Canaria"
"Los Molinos",29,62,"San Bartolome De Tirajana","Avda. De Tirajana, Nº 36, Pta. 125 35100    , Playa Del Ingles, San Bartolome De Tirajana, Gran Canaria"
"Los Molinos",29,62,"San Bartolome De Tirajana","Avda. De Tirajana, Nº 36, Pta. 801 35100    , Playa Del Ingles, San Bartolome De Tirajana, Gran Canaria"
"Los Molinos",29,62,"San Bartolome De Tirajana","Avda. Tirajana, Nº 36, Pta. 235 35100    , Playa Del Ingles, San Bartolome De Tirajana, Gran Canaria"
"Los Molinos",29,62,"San Bartolome De Tirajana","Avda. Tirajana, Nº 36, Pta. 317 35100    , Playa Del Ingles, San Bartolome De Tirajana, Gran Canaria"
"Los Molinos",29,62,"San Bartolome De Tirajana","Avda. Tirajana, Nº 36, Pta. 333 35100    , Playa Del Ingles, San Bartolome De Tirajana, Gran Canaria"
"Los Molinos",29,62,"San Bartolome De Tirajana","Avda. Tirajana, Nº 36, Pta. 604 35100    , Playa Del Ingles, San Bartolome De Tirajana, Gran Canaria"
"Los Molinos",29,62,"San Bartolome De Tirajana","Avda. Tirajana, Nº 36, Pta. 601 35100    , Playa Del Ingles, San Bartolome De Tirajana, Gran Canaria"
"Notar",18,61,"Mogan, Las Palmas De Gran Canaria","Calle Vicealmirante Fontan Lobe 26"
"Notar",18,61,"Mogan, Las Palmas De Gran Canaria","Vicealmirante Fontan Lobe 26"
"Notar",18,61,"Mogan, Las Palmas De Gran Canaria","Calle Albareda 48"
"Notar",18,61,"Mogan, Las Palmas De Gran Canaria","Callejon Del Señor Elias 1"
"Notar",18,61,"Mogan, Las Palmas De Gran Canaria","Calle Princesa Guayarmina 1"
"Notar",18,61,"Mogan, Las Palmas De Gran Canaria","Calle Alonso Quesada 1  1"
"Notar",18,61,"Mogan, Las Palmas De Gran Canaria","Calle Teguisa 20 1 5  E"
"Notar",18,61,"Mogan, Las Palmas De Gran Canaria","Avenida De La Graciosa 4   1 9"
"Notar",18,61,"Mogan, Las Palmas De Gran Canaria","Avenida De Mogan 17   1 101"
"Notar",18,61,"Mogan, Las Palmas De Gran Canaria","Calle Princesa Guayarmina 15    220"
"Notar",18,61,"Mogan, Las Palmas De Gran Canaria","Calle La Lajilla 412   3 303"
"Notar",18,61,"Mogan, Las Palmas De Gran Canaria","Calle La Lajilla 412   3 311"
"Notar",18,61,"Mogan, Las Palmas De Gran Canaria","Calle Tenerife 9    14"
"Notar",18,61,"Mogan, Las Palmas De Gran Canaria","Calle Alonso Quesada 8   1 1"
"Notar",18,61,"Mogan, Las Palmas De Gran Canaria","Calle Escocia 4"
"Notar",18,61,"Mogan, Las Palmas De Gran Canaria","Avenida Los Guayres 34 E   227"
"Notar",18,61,"Mogan, Las Palmas De Gran Canaria","Calle La Lajilla 412   7 10"
"Cordial Mogan Solaz",12,43,"Mogan","Calle La Puntilla 26 35139 1   201, Puerto De Mogan, Mogan, Gran Canaria"
"Cordial Mogan Solaz",12,43,"Mogan","Calle La Puntilla 32"
"Cordial Mogan Solaz",12,43,"Mogan","Calle La Puntilla  32"
"Cordial Mogan Solaz",12,43,"Mogan","C/ La Puntilla 27"
"Cordial Mogan Solaz",12,43,"Mogan","C/La Puntilla 27"
"Cordial Mogan Solaz",12,43,"Mogan","C/ La Puntilla, Nº 27 Puerta 103 27"
