Name,Type,VVs,Beds,Score,Email,Phone,Website,Contact Person,Notes,Municipality
Resort Cordial Santa Agueda,VV Gestora,87,380,86,info@becordial.com,+34 928 143393,https://www.becordial.com,"Alberto Pernalete (Dir Ops), Tanja Tremmel (Marketing)",Cordial Hotels group. Also manages Cordial Mogan Solaz,San Bartolome De Tirajana
Los Molinos,VV Gestora,29,62,68,,+34 645 560 244,https://residencial-los-molinos.grancanaria-hotels.com/,,Avenida Tirajana 40 Maspalomas. 5-story complex,San Bartolome De Tirajana
Cordial Mogan Solaz,VV Gestora,12,43,58,info@becordial.com,+34 928 143393,https://www.becordial.com,Same as Resort Cordial,Same ownership as Resort Cordial,Mogan
Rocas Rojas,Complex,393,,55,grancanaria@fastighetsbyran.com,+34 928 768803,http://rocasrojas.com/,Fastighetsbyrån España (agent),393-unit complex San Agustín. Calle Las Pitas 6,San Bartolome De Tirajana
Sunsuites Carolina,VV Gestora,9,27,54,carolina@sunsuites.es,+34 928 778200,https://www.sunsuites.es,,11-50 employees. Calle Los Cardones 3,San Bartolome De Tirajana
Finca Tomas Y Puri,VV Gestora,9,28,54,,,http://www.fincaruralgrancanaria.com/,,Rural tourism. GC 60 Km 35 Fátaga,San Bartolome De Tirajana
VillaGranCanaria,Mgmt Company,Multi,,n/a,info@villagrancanaria.com,+34 928 380 457,https://villagrancanaria.com/,,VillaGranCanaria Investments S.L. 20+ years. CIF B76226992,Maspalomas
Living Las Canteras,Mgmt Company,Multi,,n/a,juan.betancor@livinglascanteras.com,,https://livinglascanteras.com/,Juan Betancor (Founder),100% Las Canteras focused. Since 2010,Las Palmas De Gran Canaria
Grupo Diluvi,Mgmt Company,Multi,,n/a,info@grupodiluvi.es,+34 928 725 613,https://grupodiluvi.es/,,,Mogan
Hosticasa,Mgmt Company,Multi,,n/a,contacto@hosticasa.com,+34 684 100 239,https://www.hosticasa.com/,Carlos Román (Director),Official intermediary I-0004576.1,Las Palmas De Gran Canaria
Weguest,Mgmt Company,Multi,,n/a,contact@weguest.com,+34 900 101 957,https://www.weguest.com/,,National company. Free phone,Multi-island
Sleepaways,Mgmt Company,Multi,,n/a,info@sleepaways.com,+34 828 128751,https://property.sleepaways.com/,,Also UK +44 7520642199 Germany +49 89 61429689,Multi-island
Gestión Vacacional Canarias,Mgmt Company,Multi,,n/a,info@gestionvacacionalcanarias.es,+34 680 336 661,https://gestionvacacionalcanarias.com/,,WhatsApp available. Maspalomas focused,Maspalomas
Las Casas Canarias,Mgmt Company,Multi,,n/a,info@lascasascanarias.com,+34 928 580 030,https://www.lascasascanarias.com/,,The Dream Destination Travel S.L. Since 2003. WhatsApp +34 638 525 416,Multi-island
Notar,VV Gestora,18,61,58,,,,,,"Mogan, Las Palmas De Gran Canaria"
Canteras Way,VV Gestora,11,58,57,,,,,,Las Palmas De Gran Canaria
Bungalow,VV Gestora,9,33,55,,,,,,San Bartolome De Tirajana
Charles Moe S.L.U,VV Gestora,9,24,54,,,,,,Mogan
Finca Navelo Slu,VV Gestora,8,22,53,,,,,,Aguimes
Las Canteras,VV Gestora,7,23,52,,,,,,Las Palmas De Gran Canaria
Vv Apartments Ragar S.L.,VV Gestora,6,18,50,,,,,,Las Palmas De Gran Canaria
Emycanarias Holiday Homes,VV Gestora,8,68,49,,,,,,"Aguimes, Santa Lucia De Tirajana"
Canteras,VV Gestora,5,22,48,,,,,,Las Palmas De Gran Canaria
Canteras Beach,VV Gestora,5,13,48,,,,,,Las Palmas De Gran Canaria
Anna,VV Gestora,5,20,48,,,,,,Santa Lucia De Tirajana
Tegueste,VV Gestora,5,15,48,,,,,,Santa Lucia De Tirajana
Bahia Meloneras,VV Gestora,5,20,48,,,,,,San Bartolome De Tirajana
Real Monglares,VV Gestora,5,15,48,,,,,,Mogan
Apartamento Las Canteras,VV Gestora,4,14,45,,,,,,Las Palmas De Gran Canaria
Las Canteras Beach,VV Gestora,4,15,45,,,,,,Las Palmas De Gran Canaria
