Ranking,Gestora,Score,VVs,Camas,Camas/VV,Islas,Municipios,Complejos,Concentracion,Score Complejos,Lat,Lon,Direccion Ejemplo,Map URL
1,"Resort Cordial Santa Agueda",93,87,380,4.4,"Gran Canaria","San Bartolome De Tirajana","Resort Cordial Santa Agueda",100,100,27.754439,-15.675166,"Ds El Pajar Suelo Parcela 1 1",http://localhost:3000/installer/prospecting?lat=27.754439&lon=-15.675166&zoom=15
2,"Bungalow",67,10,39,3.9,"Gran Canaria, Tenerife","San Bartolome De Tirajana, Santiago Del Teide","Bungalow",85,100,27.813566,-15.758097,"Agustín Millares Carló 005 Puerta 62",http://localhost:3000/installer/prospecting?lat=27.813566&lon=-15.758097&zoom=15
3,"Apartamentos Carolina",62,6,19,3.2,"Gran Canaria, Tenerife","Mogan, Arona","Apartamentos Carolina",85,100,28.01043,-16.547043,"Avda De Los Cardones 5",http://localhost:3000/installer/prospecting?lat=28.010430&lon=-16.547043&zoom=15
4,"Villa Blanca",61,5,37,7.4,"Tenerife, Gran Canaria","Adeje, Mogan","Villa Blanca",85,100,28.026115,-16.484668,"Avenida Europa 54",http://localhost:3000/installer/prospecting?lat=28.026115&lon=-16.484668&zoom=15
5,"Amarilla Maintenance Service, S.L.U.",59,43,123,2.9,"Tenerife","San Miguel De Abona","",100,0,28.023951,-16.617233,"Avda. Maria De Los Angeles Ascanio Cullen 26",http://localhost:3000/installer/prospecting?lat=28.023951&lon=-16.617233&zoom=15
6,"Callao Veintidos S.L",58,39,146,3.7,"Tenerife","Adeje","",100,0,28.128701,-16.778006,"Avda Las Galgas 6 1  0 A",http://localhost:3000/installer/prospecting?lat=28.128701&lon=-16.778006&zoom=15
7,"Apartamento",55,28,98,3.5,"Tenerife, Gran Canaria, Fuerteventura","Granadilla De Abona, Las Palmas De Gran Canaria, San Bartolome De Tirajana, Valleseco, Mogan, Puerto De La Cruz, Arona, Los Silos, Adeje, Santiago Del Teide, El Rosario, Santa Cruz Tenerife, Los Realejos, La Oliva, Arico","Apartamento",0,100,28.181155,-16.101551,"Calle Angel Guimera 6, Piso 1b, Puerta 5",http://localhost:3000/installer/prospecting?lat=28.181155&lon=-16.101551&zoom=15
8,"Apartamento Vacacional",53,5,23,4.6,"Gran Canaria, Tenerife","Ingenio, Granadilla De Abona, Guimar, Santa Cruz Tenerife","Apartamento Vacacional",55,100,28.125105,-16.001886,"Dámaso Alonso 004 1º A",http://localhost:3000/installer/prospecting?lat=28.125105&lon=-16.001886&zoom=15
9,"Kategora Rentals S.L.",53,33,133,4,"Tenerife","Arico, Adeje","",85,0,28.141648,-16.44461,"Playas De Arico 1 A A1",http://localhost:3000/installer/prospecting?lat=28.141648&lon=-16.444610&zoom=15
10,"Contratas Barambio S.L.",53,35,78,2.2,"Lanzarote","Teguise, Haria","",85,0,29.080859,-13.452569,"Montaña Redonda 10 E   11",http://localhost:3000/installer/prospecting?lat=29.080859&lon=-13.452569&zoom=15
11,"Estrella Del Norte",51,28,58,2.1,"Tenerife, Fuerteventura","Icod De Los Vinos, La Oliva","",85,0,28.37578,-16.612787,"Ctra. El Amparo, 75, Piso 3º, Vda. 13",http://localhost:3000/installer/prospecting?lat=28.375780&lon=-16.612787&zoom=15
12,"Kategora Rentals Sl",50,16,60,3.8,"Tenerife","Arico","",100,0,28.141584,-16.444405,"Ur Caleta Maria Luisa 5 H H2",http://localhost:3000/installer/prospecting?lat=28.141584&lon=-16.444405&zoom=15
13,"Grupo Comares Amc",50,25,85,3.4,"Tenerife","Puerto De La Cruz, Arona","",85,0,28.402392,-16.553246,"Calle La Hoya 29",http://localhost:3000/installer/prospecting?lat=28.402392&lon=-16.553246&zoom=15
14,"Grupo Comares",50,35,144,4.1,"Tenerife","Arona, Puerto De La Cruz, La Orotava","",70,0,28.166407,-16.658271,"Calle Amalia Alayon 11",http://localhost:3000/installer/prospecting?lat=28.166407&lon=-16.658271&zoom=15
15,"Nexus Leisure Group, S.L.",48,13,39,3,"Tenerife","Arona","",100,0,28.053658,-16.704627,"Calle Los Ángeles 4",http://localhost:3000/installer/prospecting?lat=28.053658&lon=-16.704627&zoom=15
16,"Carlomar",47,19,58,3.1,"Tenerife","Guia Isora, Santiago Del Teide","",85,0,28.18614,-16.820144,"C/ Isla Del Hierro, 55, 1º, Appto. 1a",http://localhost:3000/installer/prospecting?lat=28.186140&lon=-16.820144&zoom=15
17,"Cordial Mogan Solaz",47,12,43,3.6,"Gran Canaria","Mogan","",100,0,27.820603,-15.76074,"Calle La Puntilla 26 35139 1   201, Puerto De Mogan, Mogan, Gran Canaria",http://localhost:3000/installer/prospecting?lat=27.820603&lon=-15.760740&zoom=15
18,"Notar",47,18,61,3.4,"Gran Canaria","Mogan, Las Palmas De Gran Canaria","",85,0,27.805883,-15.672288,"Calle Vicealmirante Fontan Lobe 26",http://localhost:3000/installer/prospecting?lat=27.805883&lon=-15.672288&zoom=15
19,"Macaronesian Rentals",47,26,133,5.1,"Tenerife, La Gomera","Adeje, Arona, San Sebastian De La Gomera","",70,0,NaN,NaN,"Calle El Mojon  16  B 0 25",http://localhost:3000/installer/prospecting?lat=NaN&lon=NaN&zoom=15
20,"Mareverde",46,11,33,3,"Tenerife","Adeje","",100,0,28.086374,-16.730756,"Avda. Ernesto Sarti, Nº 10, Bloque D, Pta. 9",http://localhost:3000/installer/prospecting?lat=28.086374&lon=-16.730756&zoom=15
21,"Canteras Way",46,11,58,5.3,"Gran Canaria","Las Palmas De Gran Canaria","",100,0,28.135002,-15.437279,"Secretario Padilla 76   2 D",http://localhost:3000/installer/prospecting?lat=28.135002&lon=-15.437279&zoom=15
22,"Parque Santiago 1",46,11,39,3.5,"Tenerife","Arona","",100,0,28.058969,-16.7345,"Avenida Puig Lluvina 34  3",http://localhost:3000/installer/prospecting?lat=28.058969&lon=-16.734500&zoom=15
23,"San Bernardo",45,14,56,4,"Tenerife, Gran Canaria","Los Silos, Las Palmas De Gran Canaria","",85,0,28.348946,-16.732586,"C/ Canteras Piso 2, Pta 8 (San Bernardo)",http://localhost:3000/installer/prospecting?lat=28.348946&lon=-16.732586&zoom=15
24,"Orlando",45,14,42,3,"Tenerife","Arona, Adeje","",85,0,28.075623,-16.722502,"C/ Hesperides - Apts Atlantic View N 6 Piso 1 Pt 110",http://localhost:3000/installer/prospecting?lat=28.075623&lon=-16.722502&zoom=15
